index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
2,438644,2022-04-13,00:15,2022,204,Copa Libertadores,54.167,Grupo E,583,62958,Boca Juniors,Always Ready,Boca Juniors - Always Ready,,,,,84.0,34.0,50.0,2714.0,453.0,-83.3,-24.0,45.0,-69.0,51.2,20.7,28.1,2.16,1.57,0.5900000000000001
3,438668,2022-04-13,00:15,2022,204,Copa Libertadores,54.167,Grupo E,725,815,Cerro Porteño,Colón,Cerro Porteño - Colón,,,,,51.0,73.0,-22.0,1003.0,2066.0,-51.5,-22.0,-9.0,-13.0,21.6,26.3,52.1,0.86,1.49,-0.63
4,438680,2022-04-13,00:15,2022,204,Copa Libertadores,54.167,Grupo E,2597,2392,U. Católica,Sporting Cristal,U. Católica - Sporting Cristal,,,,,75.0,40.0,35.0,2186.0,611.0,-72.0,-5.0,37.0,-42.0,73.6,15.7,10.7,2.56,0.88,1.6800000000000002
5,438596,2022-04-13,02:30,2022,204,Copa Libertadores,54.167,Grupo E,11584,112419,Palmeiras,Independiente Petrolero,Palmeiras - Independiente Petrolero,,,,,80.0,34.0,46.0,2452.0,454.0,-81.5,-2.0,70.0,-72.0,67.6,16.9,15.5,2.6,1.2,1.4000000000000001
6,438669,2022-04-13,02:30,2022,204,Copa Libertadores,54.167,Grupo E,1945,1852,Peñarol,Olimpia,Peñarol - Olimpia,,,,,66.0,49.0,17.0,1715.0,927.0,-45.9,-22.0,52.0,-74.0,41.9,24.2,34.0,1.59,1.41,0.18000000000000016
7,438681,2022-04-13,02:30,2022,204,Copa Libertadores,54.167,Grupo E,1155,6563,Flamengo,Talleres Córdoba,Flamengo - Talleres Córdoba,,,,,79.0,59.0,20.0,2424.0,1337.0,-44.8,-25.0,16.0,-41.0,56.8,23.7,19.6,1.73,0.9,0.83
8,318423,2022-04-13,02:40,2022,42,Ouverture - Colombie,47.500,Temporada Regular,5940,4374,Atlético Bucaramanga,Cortuluá,Atlético Bucaramanga - Cortuluá,,,,,67.0,62.0,5.0,1764.0,1514.0,-14.2,7.0,-1.0,8.0,57.0,23.9,19.1,1.7,0.87,0.83
9,430165,2022-04-13,04:00,2022,706,CONCACAF Champions,27.404,Demi-finales,705,2035,Cruz Azul,Pumas UNAM,Cruz Azul - Pumas UNAM,,,,,71.0,71.0,0.0,1968.0,1932.0,-1.8,-11.0,2.0,-13.0,46.0,27.2,26.8,1.38,0.99,0.3899999999999999
11,282398,2022-04-13,11:05,2022,54,A-League,12.500,Journée 10,1953,2744,Perth Glory,Wellington Phoenix,Perth Glory - Wellington Phoenix,,,,,33.0,26.0,7.0,438.0,323.0,-26.3,52.0,51.0,1.0,55.0,20.1,24.9,2.25,1.48,0.77
12,282414,2022-04-13,11:05,2022,54,A-League,12.500,Journée 10,15211,719,Western Sydney Wanderers,Central Coast Mariners,Western Sydney Wanderers - Central Coast Mariners,,,,,42.0,33.0,9.0,659.0,432.0,-34.4,-17.0,57.0,-74.0,34.5,25.2,40.3,1.34,1.47,-0.1299999999999999
13,290656,2022-04-13,16:45,2022,311,Ligue 1 algérienne,11.838,Journée 25,59580,11506,HB Chelghoum Laid,JS Kabylie,HB Chelghoum Laid - JS Kabylie,,,,,18.0,44.0,-26.0,251.0,743.0,-66.2,-5.0,-24.0,19.0,40.5,29.7,29.8,1.16,0.95,0.20999999999999996
10,431531,2022-04-13,18:30,2022,13,Championnat du Danemark,21.000,Ronda Campeonato,9793,9799,Randers,Midtjylland,Randers - Midtjylland,,,,,49.0,58.0,-9.0,904.0,1290.0,-29.9,13.0,-1.0,14.0,42.3,26.5,31.1,1.39,1.15,0.24
0,431041,2022-04-13,21:00,2022,107,Ligue des Champions,90.000,1/4 de finale,369,1633,Atlético,Man. City,Atlético - Man. City,,,,,97.0,93.0,4.0,3745.0,3439.0,-8.2,-21.0,24.0,-45.0,40.4,26.6,32.9,1.35,1.19,0.16000000000000014
1,431045,2022-04-13,21:00,2022,107,Ligue des Champions,90.000,1/4 de finale,3845,466,Liverpool,Benfica,Liverpool - Benfica,,,,,89.0,91.0,-2.0,3087.0,3212.0,-3.9,8.0,15.0,-7.0,46.9,25.4,27.7,1.54,1.12,0.41999999999999993
14,290655,2022-04-13,23:00,2022,311,Ligue 1 algérienne,11.838,Journée 25,59337,11511,Biskra,MC Oran,Biskra - MC Oran,,,,,11.0,36.0,-25.0,169.0,493.0,-65.7,8.0,-26.0,34.0,47.6,28.2,24.3,1.33,0.86,0.4700000000000001
15,290657,2022-04-13,23:00,2022,311,Ligue 1 algérienne,11.838,Journée 25,11509,11499,USM Alger,Chlef,USM Alger - Chlef,,,,,44.0,29.0,15.0,751.0,367.0,-51.1,10.0,-1.0,11.0,59.2,22.6,18.2,1.83,0.9,0.93
